 0.5566666700000000E+000  0.0000000000000000E+000 -0.6119279825040829E+000  0.5844524277726428E+000  0.5844545560449029E+000 -0.1374456324913740E+000 -0.1911826315499650E-150
 0.5722222200000000E+000  0.0000000000000000E+000 -0.5808716001650606E+000  0.5564136363223030E+000  0.5564157736235347E+000 -0.1336246916229853E+000 -0.1065506912112615E-150
 0.5875000000000000E+000  0.0000000000000000E+000 -0.5512205615091280E+000  0.5294502812808620E+000  0.5294524249257081E+000 -0.1294526571386853E+000  0.3571312455774527E-152
 0.6025000000000000E+000  0.0000000000000000E+000 -0.5229066157618816E+000  0.5035311402207929E+000  0.5035332888502747E+000 -0.1249771307741046E+000  0.5874368999169937E-151
 0.6172222200000000E+000  0.0000000000000000E+000 -0.4958652177385684E+000  0.4786244040537397E+000  0.4786265573109411E+000 -0.1202452744535958E+000  0.4627472147126162E-151
 0.6316666700000000E+000  0.0000000000000000E+000 -0.4700354064509109E+000  0.4546980524614672E+000  0.4547002107306499E+000 -0.1153033510734499E+000 -0.8898328120572582E-151
 0.6458333300000000E+000  0.0000000000000000E+000 -0.4453597187879409E+000  0.4317202084083566E+000  0.4317223726074171E+000 -0.1101963224542564E+000 -0.3965174652987205E-151
 0.6597222200000000E+000  0.0000000000000000E+000 -0.4217838902150390E+000  0.4096592447432540E+000  0.4096614161605235E+000 -0.1049674548305332E+000  0.3788789246729771E-151
 0.6733333300000000E+000  0.0000000000000000E+000 -0.3992567952674434E+000  0.3884840676330938E+000  0.3884862478005566E+000 -0.9965802188855094E-001  0.5483280782652448E-151
 0.6866666700000000E+000  0.0000000000000000E+000 -0.3777301787468426E+000  0.3681641638976994E+000  0.3681663544939646E+000 -0.9430701441775169E-001  0.3758995283092583E-151
 0.6997222200000000E+000  0.0000000000000000E+000 -0.3571585593305824E+000  0.3486697731224209E+000  0.3486719758997225E+000 -0.8895093788681284E-001 -0.1836174793649531E-150
 0.7125000000000000E+000  0.0000000000000000E+000 -0.3374989467999195E+000  0.3299718512635921E+000  0.3299740679941826E+000 -0.8362361109948528E-001 -0.2216209948307946E-150
 0.7250000000000000E+000  0.0000000000000000E+000 -0.3187107917661987E+000  0.3120422253742292E+000  0.3120444578121193E+000 -0.7835606898424946E-001  0.2661419638966585E-151
 0.7372222200000000E+000  0.0000000000000000E+000 -0.3007557707631854E+000  0.2948535672514693E+000  0.2948558171063962E+000 -0.7317646537776419E-001 -0.2598701594202926E-150
 0.7491666700000000E+000  0.0000000000000000E+000 -0.2835976467686716E+000  0.2783794161644745E+000  0.2783816850854114E+000 -0.6811003368323947E-001 -0.1036854204281569E-150
 0.7608333300000000E+000  0.0000000000000000E+000 -0.2672021952850109E+000  0.2625942453576510E+000  0.2625965349236603E+000 -0.6317910278228722E-001  0.3163475985145094E-150
 0.7722222200000000E+000  0.0000000000000000E+000 -0.2515369833118531E+000  0.2474733701772335E+000  0.2474756818940941E+000 -0.5840310050920452E-001 -0.2643220579130162E-150
 0.7833333300000000E+000  0.0000000000000000E+000 -0.2365713565190345E+000  0.2329930415171722E+000  0.2329953768181743E+000 -0.5379864646716043E-001  0.7985780619905131E-151
 0.7941666700000000E+000  0.0000000000000000E+000 -0.2222762663653847E+000  0.2191303722160800E+000  0.2191327324660943E+000 -0.4937962015333142E-001  0.4877288801134732E-150
