  0.1798201798201798E+00   0.0000000000000000E+00   0.8633442087379154E+00   0.8633414587510951E+00  -0.8634906866380796E+00   0.0000000000000000E+00   0.7227043777265231E+00
  0.1838161838161838E+00   0.0000000000000000E+00   0.8538129174004306E+00   0.8538101708906410E+00  -0.8539593650821544E+00   0.0000000000000000E+00   0.7128464873686164E+00
  0.1878121878121878E+00   0.0000000000000000E+00   0.8442810800872177E+00   0.8442783371276604E+00  -0.8444274962155461E+00   0.0000000000000000E+00   0.7029206493902047E+00
  0.1918081918081918E+00   0.0000000000000000E+00   0.8347554084778902E+00   0.8347526691405390E+00  -0.8349017916864285E+00   0.0000000000000000E+00   0.6929351152451658E+00
  0.1958041958041958E+00   0.0000000000000000E+00   0.8252422460914307E+00   0.8252395104469505E+00  -0.8253885949823030E+00   0.0000000000000000E+00   0.6828980084557676E+00
  0.1998001998001998E+00   0.0000000000000000E+00   0.8157475754476186E+00   0.8157448435652930E+00  -0.8158938885914184E+00   0.0000000000000000E+00   0.6728173125421979E+00
  0.2037962037962038E+00   0.0000000000000000E+00   0.8062770263827316E+00   0.8062742983303931E+00  -0.8064233023184539E+00   0.0000000000000000E+00   0.6627008600103085E+00
  0.2077922077922078E+00   0.0000000000000000E+00   0.7968358853278037E+00   0.7968331611717755E+00  -0.7969821225627646E+00   0.0000000000000000E+00   0.6525563223660824E+00
  0.2117882117882118E+00   0.0000000000000000E+00   0.7874291053730772E+00   0.7874263851781156E+00  -0.7875753023828107E+00   0.0000000000000000E+00   0.6423912011225023E+00
  0.2157842157842158E+00   0.0000000000000000E+00   0.7780613169577371E+00   0.7780586007869873E+00  -0.7782074721858878E+00   0.0000000000000000E+00   0.6322128197624406E+00
  0.2197802197802198E+00   0.0000000000000000E+00   0.7687368390393149E+00   0.7687341269542660E+00  -0.7688829508974994E+00   0.0000000000000000E+00   0.6220283166196345E+00
  0.2237762237762238E+00   0.0000000000000000E+00   0.7594596906118943E+00   0.7594569826723436E+00  -0.7596057574795482E+00   0.0000000000000000E+00   0.6118446386387056E+00
  0.2277722277722278E+00   0.0000000000000000E+00   0.7502336024564750E+00   0.7502308987205032E+00  -0.7503796226806813E+00   0.0000000000000000E+00   0.6016685359745212E+00
  0.2317682317682318E+00   0.0000000000000000E+00   0.7410620290202875E+00   0.7410593295442345E+00  -0.7412080009155886E+00   0.0000000000000000E+00   0.5915065573908167E+00
  0.2357642357642358E+00   0.0000000000000000E+00   0.7319481603348770E+00   0.7319454651733214E+00  -0.7320940821830555E+00   0.0000000000000000E+00   0.5813650464182960E+00
  0.2397602397602398E+00   0.0000000000000000E+00   0.7228949338929485E+00   0.7228922430986940E+00  -0.7230408039427899E+00   0.0000000000000000E+00   0.5712501382313615E+00
  0.2437562437562438E+00   0.0000000000000000E+00   0.7139050464181392E+00   0.7139023600422115E+00  -0.7140508628851752E+00   0.0000000000000000E+00   0.5611677572056092E+00
  0.2477522477522477E+00   0.0000000000000000E+00   0.7049809654681498E+00   0.7049782835597896E+00  -0.7051267265343797E+00   0.0000000000000000E+00   0.5511236151158785E+00
  0.2517482517482518E+00   0.0000000000000000E+00   0.6961249408236958E+00   0.6961222634303678E+00  -0.6962706446372824E+00   0.0000000000000000E+00   0.5411232099377874E+00
  0.2557442557442558E+00   0.0000000000000000E+00   0.6873390156212876E+00   0.6873363427886805E+00  -0.6874846602962287E+00   0.0000000000000000E+00   0.5311718252144049E+00
  0.2597402597402598E+00   0.0000000000000000E+00   0.6786250371987650E+00   0.6786223689708069E+00  -0.6787706208145484E+00   0.0000000000000000E+00   0.5212745299534129E+00
  0.2637362637362638E+00   0.0000000000000000E+00   0.6699846676251539E+00   0.6699820040440247E+00  -0.6701301882263762E+00   0.0000000000000000E+00   0.5114361790179121E+00
  0.2677322677322678E+00   0.0000000000000000E+00   0.6614193938963595E+00   0.6614167350025090E+00  -0.6615648494923312E+00   0.0000000000000000E+00   0.5016614139785238E+00
  0.2717282717282717E+00   0.0000000000000000E+00   0.6529305377791630E+00   0.6529278836113277E+00  -0.6530759263434797E+00   0.0000000000000000E+00   0.4919546643921044E+00
  0.2757242757242758E+00   0.0000000000000000E+00   0.6445192652945937E+00   0.6445166158898201E+00  -0.6446645847646840E+00   0.0000000000000000E+00   0.4823201494767214E+00
  0.2797202797202798E+00   0.0000000000000000E+00   0.6361865958332740E+00   0.6361839512269495E+00  -0.6363318441099348E+00   0.0000000000000000E+00   0.4727618801518876E+00
  0.2837162837162838E+00   0.0000000000000000E+00   0.6279334108989802E+00   0.6279307711248662E+00  -0.6280785858458764E+00   0.0000000000000000E+00   0.4632836614143258E+00
  0.2877122877122877E+00   0.0000000000000000E+00   0.6197604624806224E+00   0.6197578275708779E+00  -0.6199055619237562E+00   0.0000000000000000E+00   0.4538890950216267E+00
  0.2917082917082917E+00   0.0000000000000000E+00   0.6116683810546697E+00   0.6116657510398895E+00  -0.6118134027818332E+00   0.0000000000000000E+00   0.4445815824566609E+00
  0.2957042957042957E+00   0.0000000000000000E+00   0.6036576832221972E+00   0.6036550581314448E+00  -0.6038026249823923E+00   0.0000000000000000E+00   0.4353643281469745E+00
  0.2997002997002997E+00   0.0000000000000000E+00   0.5957287789869171E+00   0.5957261588477668E+00  -0.5958736384897563E+00   0.0000000000000000E+00   0.4262403429147517E+00
